Word,American,English
abiding,əˈbaɪdɪŋ,əˈbaɪdɪŋ
abidjan,ˌæbɪˈdʒɑn,ˌæbiˈdʒɑ:n
abie,NULL,NULL
abigail,NULL,ˈæbiɡeil
abila,NULL,NULL
abilene,ˈæbəˌlin,ˈæbəˌli:n
abilities,NULL,əˈbilitiz
ability,əˈbɪlɪti,əˈbɪləti
abimael,NULL,NULL
abingdon,NULL,'æbiŋdən
abington,NULL,'æbiŋtən
abio,NULL,NULL
abiola,NULL,NULL
abiola's,NULL,NULL
abiquiu,NULL,NULL
abiomed,NULL,NULL
abitibi,NULL,NULL
abitz,NULL,NULL
abject,"ˈæbˌdʒɛkt, æbˈdʒɛkt",ˈæbdʒekt
abkhazia,"æbˈkeʒə, -ziə, -ˈkɑ-, ɑb-","æbˈkeɪʒə, -zi:ə, -ˈkɑ:-, ɑ:b-"
abkhazian,"æbˈkeʒən, -ziən, -ˈkɑ-, ɑb-","æbˈkeɪʒən, -zi:ən, -ˈkɑ:-, ɑ:b-"
abkhazians,NULL,NULL
ablaze,əˈblez,əˈbleɪz
able,ˈebəl,ˈeɪbl
abled,NULL,NULL
abler,NULL,ˈeɪblə(r)
ables,NULL,NULL
ablest,NULL,ˈeɪblɪst
abloom,ə'blum,ə'blu:m
ably,ˈeɪbli,ˈeɪbli
abner,NULL,'æbnə
abney,NULL,NULL
abnormal,æbˈnɔrml,æbˈnɔ:ml
abnormalities,ˌæbnɔ'mælɪtɪz,ˌæbnɔ:'mælɪtɪz
abnormality,ˌæbnɔrˈmæləti,ˌæbnɔ:ˈmæləti
abnormally,æb'nɔməlɪ,æb'nɔ:məlɪ
abo,NULL,ˈæbəu
abo's,NULL,NULL
aboard,əˈbɔrd,əˈbɔ:d
abode,əˈboʊd,əˈbəʊd
abolish,əˈbɑlɪʃ,əˈbɒlɪʃ
abolished,NULL,əˈbɔliʃt
abolishes,NULL,əˈbɔliʃiz
abolishing,NULL,əˈbɔliʃɪŋ
abolition,ˌæbəˈlɪʃən,ˌæbəˈlɪʃn
abolitionism,NULL,ˌæbəˈlɪʃɵnɪst
abolitionist,NULL,ˌæbəˈlɪʃənɪst
abolitionists,NULL,ˌæbəˈlɪʃɵnɪsts
abominable,əˈbɑmɪnəbl,əˈbɒmɪnəbl
abomination,əˌbɑmɪˈneɪʃn,əˌbɒmɪˈneɪʃn
abood,NULL,NULL
abor,NULL,NULL
aboriginal,ˌæbəˈrɪdʒənəl,ˌæbəˈrɪdʒənl
aborigine,ˌæbə'rɪdʒənɪ,ˌæbəˈrɪdʒəni
aborigines,ˌæbə'rɪdʒɪniz,ˌæbə'rɪdʒɪni:z
abort,əˈbɔrt,əˈbɔ:t
aborted,ə'bɔtɪd,ə'bɔ:tɪd
aborn,NULL,NULL
abortifacient,əˌbɔtə'feɪʃənt,əˌbɔ:tə'feɪʃənt
abortifacients,NULL,NULL
aborting,ə'bɔtɪŋ,ə'bɔ:tɪŋ
abortion,əˈbɔrʃn,əˈbɔ:ʃn
abortionist,əˈbɔrʃənɪst,əˈbɔ:ʃənɪst
abortionists,NULL,NULL
abortions,ə'bɔʃnz,ə'bɔ:ʃnz
abortive,əˈbɔrtɪv,əˈbɔ:tɪv
aborts,NULL,əˈbɔ:ts
abott,NULL,NULL
abou,NULL,NULL
aboud,NULL,NULL
abouhalima's,NULL,NULL
abound,əˈbaʊnd,əˈbaʊnd
abounded,NULL,əˈbaundid
abounding,ə'baʊndɪŋ,ə'baʊndɪŋ
abounds,NULL,əˈbaundz
about,əˈbaʊt,əˈbaʊt
about's,NULL,NULL
above,əˈbʌv,əˈbʌv
above's,NULL,NULL
aboveboard,ə'bʌv'boʊrd,ə'bʌv'bɔ:d
abplanalp,NULL,NULL
abra,ə'brɑ,ə'brɑ:
abracadabra,ˌæbrəkəˈdæbrə,ˌæbrəkəˈdæbrə
abraham,'eɪbrəˌhæm,'eɪbrəˌhæm
abrahamian,NULL,NULL
abrahams,NULL,NULL
abrahamsen,NULL,NULL
abrahamson,NULL,NULL
abram,NULL,ˈeibrəm
abram's,NULL,NULL
abramo,NULL,NULL
abramovitz,NULL,NULL
abramowicz,NULL,NULL
abramowitz,NULL,NULL
abrams,NULL,NULL
abrams's,NULL,NULL
abramson,NULL,NULL
abrasion,əˈbreʒən,əˈbreɪʒn
abrasions,əb'reɪʒnz,əb'reɪʒnz
abrasive,əˈbresɪv,əˈbreɪsɪv
abrasives,əb'reɪsɪvz,əb'reɪsɪvz
abraxa,NULL,NULL
abraxa's,NULL,NULL
abraxas,ə'bræksəs,ə'bræksəs
abreast,əˈbrɛst,əˈbrest
abrego,NULL,NULL
abreu,NULL,NULL
abridge,əˈbrɪdʒ,əˈbrɪdʒ
abridged,ə'brɪdʒd,ə'brɪdʒd
abridgement,ə'brɪdʒmənt,ə'brɪdʒmənt
abridges,NULL,əˈbrɪdʒz
abridging,NULL,əˈbrɪdʒɪŋ
abril,NULL,NULL
abroad,əˈbrɔd,əˈbrɔ:d
abrogate,ˈæbrəˌɡet,ˈæbrəgeɪt
abrogated,NULL,ˈæbrəˌgeɪtid
abrogating,NULL,ˈæbrəˌgeɪtɪŋ
abrogation,ˌæbrə'ɡeɪʃn,ˌæbrə'ɡeɪʃn
abrol,əb'rɒl,əb'rɒl
abron,NULL,NULL
abrupt,əˈbrʌpt,əˈbrʌpt
abruptly,ə'brʌptlɪ,ə'brʌptlɪ
abruptness,ə'brʌptnəs,ə'brʌptnəs
abruzzese,NULL,NULL
abruzzo,NULL,NULL
abs,NULL,æbz
absalom,ˈæbsələm,ˈæbsələm
absaraka,NULL,NULL
abscam,NULL,"'æb,skæm"
abscess,ˈæbˌsɛs,ˈæbses
abscond,əbˈskɑnd,əbˈskɒnd
absconding,NULL,æbˈskɔndɪŋ
absconds,NULL,æbˈskɔndz
absconded,NULL,æbˈskɔndid
absecon,NULL,NULL
absence,ˈæbsəns,ˈæbsəns
absences,NULL,ˈæbsənsiz
absent,ˈæbsənt,ˈæbsənt
absentee,ˌæbsənˈti,ˌæbsənˈti:
absenteeism,ˌæbsənˈtiˌɪzəm,ˌæbsənˈti:ɪzəm
absentees,NULL,ˌæbsənˈti:z
absentia,NULL,æbˈsenʃiə
abshire,NULL,NULL
absinthe,ˈæbsɪnθ,ˈæbsɪnθ
abso,NULL,NULL
absolom,NULL,NULL
absolut,NULL,NULL
absolut's,NULL,NULL
absolute,ˈæbsəˌlut,ˈæbsəlu:t
absolutely,"ˈæbsəˌlutli, ˌæbsəˈlutli",ˈæbsəlu:tli
absoluteness,'æbsəˌlutnɪs,'æbsəlu:tnɪs
absolutes,NULL,ˈæbsəlju:ts
absolution,ˌæbsəˈluʃən,ˌæbsəˈlu:ʃn
absolutism,ˈæbsəˌluˌtɪzəm,ˈæbsəlu:tɪzəm
absolutist,'æbsəlutɪst,'æbsəlu:tɪst
absolve,əbˈzɑlv,əbˈzɒlv
absolved,NULL,əbˈzɔlvd
absolves,NULL,əbˈzɔlvz
absolving,NULL,əbˈzɔlvɪŋ
absorb,əbˈsɔrb,əbˈsɔ:b
absorbed,əbˈsɔrbd,əbˈsɔ:bd
absorbency,əb'zɔbənsɪ,əb'zɔ:bənsɪ
absorbent,əbˈsɔrbənt,əbˈsɔ:bənt
absorber,əb'sɔbə,əb'sɔ:bə
absorbers,NULL,NULL
absorbing,əbˈsɔrbɪŋ,əbˈsɔ:bɪŋ
absorbs,NULL,əbˈsɔ:bz
absorption,əbˈsɔrpʃn,əbˈsɔ:pʃn
abstain,"æbˈsten, əb-",əbˈsteɪn
abstained,NULL,əbˈsteind
abstaining,NULL,əbˈsteinɪŋ
abstention,"æbˈstɛnʃən, əb-",əbˈstenʃn
abstentions,NULL,æbˈstenʃənz
abstinence,ˈæbstənəns,ˈæbstɪnəns
abstinent,ˈæbstɪnənt,ˈæbstɪnənt
abston,NULL,NULL
abstract,ˈæbˌstrækt,ˈæbstrækt
abstracted,"æbˈstræktɪd, ˈæbˌstræk-",æbˈstræktɪd
abstraction,"æbˈstrækʃən, əb-",æbˈstrækʃn
abstractions,NULL,æbˈstrækʃənz
abstracts,NULL,ˈæbstrækts
abstruse,"æbˈstrus, əb-",əbˈstru:s
absurd,əbˈsɜrd,əbˈsɜ:d
absurdist,əb'sɜdɪst,əb'sɜ:dɪst
absurdities,NULL,əbˈsɜ:dɪtɪz
absurdity,əb'sɜdətɪ,əb'sɜ:dətɪ
absurdly,əb'sɜdlɪ,əb'sɜ:dlɪ
abt,NULL,ə'baʊt
abts,NULL,NULL
abu,NULL,NULL
abuellah,NULL,NULL
abuellah's,NULL,NULL
abundance,əˈbʌndəns,əˈbʌndəns
abundant,əˈbʌndənt,əˈbʌndənt
abundantly,əˈbʌndəntli,əˈbʌndəntli
aburto's,NULL,NULL
abuse,əˈbjuz,əˈbju:s
abused,NULL,əˈbju:st
abuser,NULL,ə'bju:zə
abusers,NULL,NULL
abuses,NULL,əˈbju:siz
abusing,NULL,əˈbju:sɪŋ
abusive,"əˈbjusɪv, -zɪv",əˈbju:sɪv
abut,əˈbʌt,əˈbʌt
abuts,NULL,əˈbʌts
abutted,NULL,əˈbʌtid
abutting,ə'bʌtɪŋ,ə'bʌtɪŋ
abuzz,əˈbʌz,ə'bʌz
abysmal,əˈbɪzməl,əˈbɪzməl
abysmally,ə'bɪzməlɪ,ə'bɪzməlɪ
abyss,əˈbɪs,əˈbɪs
abyssinia,ˌæbɪˈsɪniə,ˌæbiˈsinjə
abyssinian,NULL,",æbi'siniən"
abzug,"ˈæbˌzʊɡ, -ˌzʌɡ","ˈæbˌzʊg, -ˌzʌg"
ac,NULL,'e'si
aca,NULL,NULL
acacia,ə'keɪʃə,əˈkeɪʃə
academe,ˈækəˌdim,'ækədi:m
academia,ˌækəˈdimiə,ˌækəˈdi:miə
academic,ˌækəˈdɛmɪk,ˌækəˈdemɪk
academically,ˌækə'demɪklɪ,ˌækə'demɪklɪ
academician,ˌækədəˈmɪʃn,əˌkædəˈmɪʃn
academicians,əkædə'mɪʃnz,əkædə'mɪʃnz
academics,ækə'demɪks,ækə'demɪks
academies,NULL,əˈkædəmiz
academy,əˈkædəmi,əˈkædəmi
academy's,NULL,NULL
acadia,əˈkediə,əˈkeidjə
acampo,NULL,NULL
acampora,NULL,NULL
acantha,ə'kænθə,ə'kænθə
acapulco,NULL,NULL
accardi,NULL,NULL
accardo,NULL,NULL
acary,NULL,NULL
accede,ækˈsid,əkˈsi:d
acceded,NULL,ækˈsi:did
accedes,NULL,ækˈsi:dz
acceding,NULL,ækˈsi:dɪŋ
accel,æk'səl,æk'səl
accelerant,æk'selərənt,æk'selərənt
accelerants,NULL,NULL
accelerate,ækˈsɛləˌret,əkˈseləreɪt
accelerated,æk'seləˌreɪtɪd,æk'seləreɪtɪd
accelerates,NULL,ækˈseləreits
accelerating,æk'sæləreɪtɪŋ,æk'sæləreɪtɪŋ
acceleration,ækˌsɛləˈreʃən,əkˌseləˈreɪʃn
accelerator,ækˈsɛləˌretɚ,əkˈseləreɪtə(r)
accelerators,ək'seləreɪtəz,ək'seləreɪtəz
accelerometer,əkˌseləˈrɑmɪtə(r),əkˌseləˈrɒmɪtə(r)
accelerometers,NULL,NULL
accent,ˈækˌsɛnt,ˈæksent
accented,NULL,ˈæksentɪd
accenting,NULL,NULL
accents,NULL,ˈæksənts
accentuate,ækˈsɛntʃuˌet,əkˈsentʃueɪt
accentuated,NULL,ækˈsentʃu:ˌeɪtid
accentuates,NULL,ækˈsentʃu:ˌeɪts
accentuating,NULL,ækˈsentʃu:ˌeɪtɪŋ
accept,ækˈsɛpt,əkˈsept
acceptability,əkˌseptə'bɪlətɪ,əkˌseptə'bɪlətɪ
acceptable,ækˈsɛptəbəl,əkˈseptəbl
acceptably,ək'septəblɪ,ək'septəblɪ
acceptance,ækˈsɛptəns,əkˈseptəns
acceptances,NULL,əkˈseptənsiz
accepted,əkˈseptɪd,ək'septɪd
accepting,ək'septɪŋ,ək'septɪŋ
accepts,NULL,əkˈsepts
access,ˈæksɛs,ˈækses
accessed,NULL,NULL
accessibility,əkˌsesə'bɪlətɪ,əkˌsesə'bɪlətɪ
accessible,ækˈsɛsəbəl,əkˈsesəbl
accessing,'æksesɪŋ,'æksesɪŋ
accession,ækˈsɛʃən,ækˈseʃn
accessories,ək'sesərɪz,ək'sesərɪz
accessorize,ækˈsɛsəˌraɪz,əkˈsesəraɪz
accessorized,NULL,ækˈsesəˌraizd
accessory,ækˈsɛsəri,əkˈsesəri
accetta,NULL,NULL
accident,"ˈæksɪdənt, -ˌdɛnt",ˈæksɪdənt
accident's,NULL,NULL
accidental,ˌæksɪˈdɛntl,ˌæksɪˈdentl
accidentally,ˌæksɪ'dentəlɪ,ˌæksɪ'dentəlɪ
accidently,æksɪ'dentlɪ,æksɪ'dentlɪ
accidents,'æksɪdənts,'æksɪdənts
accion,NULL,NULL
accival,NULL,NULL
acclaim,əˈklem,əˈkleɪm
acclaim's,NULL,NULL
acclaimed,NULL,ə'kleimd
acclaiming,NULL,əˈkleimɪŋ
acclaims,NULL,əˈkleimz
acclimate,"əˈklaɪmɪt, ˈækləˌmet",ˈækləmeɪt
acclimated,NULL,əˈklaimitid
acclamation,ˌækləˈmeʃən,ˌækləˈmeɪʃn
acclimation,ˌæklə'meɪʃn,ˌæklə'meɪʃn
acco,'ækoʊ,'ækəʊ
accokeek,NULL,NULL
accola,NULL,NULL
accolade,"ˈækəˌled, -ˌlɑd",ˈækəleɪd
accolades,NULL,ˈækəˌleɪdz
accommodate,əˈkɑmədeɪt,əˈkɒmədeɪt
accommodated,NULL,əˈkɔmədeitid
accommodates,NULL,əˈkɔmədeits
accommodating,əˈkɑmədeɪtɪŋ,əˈkɒmədeɪtɪŋ
accommodation,əˌkɑməˈdeɪʃn,əˌkɒməˈdeɪʃn
accommodations,əkɒmə'deɪʃnz,əkɒmə'deɪʃnz
accommodative,ə'kɒməˌdeɪtɪv,ə'kɒmə'deɪtɪv
accompanied,NULL,əˈkʌmpənid
accompanies,NULL,əˈkʌmpəniz
accompaniment,"əˈkʌmpənimənt, əˈkʌmpni-",əˈkʌmpənimənt
accompaniments,ə'kʌmpənɪmənts,ə'kʌmpənɪmənts
accompanist,"əˈkʌmpənɪst, əˈkʌmpnɪst",əˈkʌmpənɪst
accompany,"əˈkʌmpəni, əˈkʌmpni",əˈkʌmpəni
accompanying,ə'kʌmpənɪɪŋ,ə'kʌmpənɪɪŋ
accompli,NULL,NULL
accomplice,əˈkɑmplɪs,əˈkʌmplɪs
accomplices,NULL,əˈkɔmplisiz
accomplish,əˈkɑmplɪʃ,əˈkʌmplɪʃ
accomplished,əˈkɑmplɪʃt,əˈkʌmplɪʃt
accomplishes,NULL,əˈkɔmpliʃiz
accomplishing,NULL,əˈkɔmpliʃɪŋ
accomplishment,əˈkɑmplɪʃmənt,əˈkʌmplɪʃmənt
accomplishments,ə'kʌmplɪʃmənts,ə'kʌmplɪʃmənts
accor,NULL,NULL
accor's,NULL,NULL
accord,əˈkɔrd,əˈkɔ:d
accord's,NULL,NULL
accordance,əˈkɔrdns,əˈkɔ:dns
accorded,NULL,əˈkɔ:did
according,ə'kɔdɪŋ,ə'kɔ:dɪŋ
accordingly,əˈkɔrdɪŋli,əˈkɔ:dɪŋli
accordion,əˈkɔrdiən,əˈkɔ:diən
accordions,NULL,əˈkɔ:di:ənz
accords,NULL,əˈkɔ:dz
accost,əˈkɔst,əˈkɒst
accosted,NULL,əˈkɔ:stid
accosting,NULL,əˈkɔ:stɪŋ
account,əˈkaʊnt,əˈkaʊnt
account's,NULL,NULL
accountability,əˌkaʊntə'bɪlətɪ,əˌkaʊntə'bɪlətɪ
accountable,əˈkaʊntəbəl,əˈkaʊntəbl
accountancy,əˈkaʊntənsi,əˈkaʊntənsi
accountant,əˈkaʊntənt,əˈkaʊntənt
accountant's,NULL,NULL
accountants,ə'kaʊntənts,ə'kaʊntənts
accounted,ə'kɑʊntɪd,ə'kɑʊntɪd
accountemp,NULL,NULL
accountemps,NULL,NULL
accounting,əˈkaʊntɪŋ,əˈkaʊntɪŋ
accounts,ə'kaʊnts,ə'kaʊnts
accouterment,ə'kutəmənts,ə'ku:təmənts
accouterments,ə'kutərmənts,ə'ku:tərmənts
accoutrement,ə'kutəmənt,ə'ku:təmənt
accoutrements,NULL,əˈku:trəmənts
accredit,əˈkrɛdɪt,əˈkredɪt
accreditation,əˌkrɛdɪˈteʃən,əˌkredɪˈteɪʃn
accreditations,NULL,NULL
accredited,ə'krɛdɪtɪd,əˈkredɪtɪd
accrediting,NULL,əˈkredɪtɪŋ
accreted,NULL,æˈkri:tid
accretion,əˈkriʃən,əˈkri:ʃn
accrual,əˈkruəl,ə'kru:əl
accruals,ə'kruəlz,ə'kru:əlz
accrue,əˈkru,əˈkru:
accrued,ə'krʊd,ə'kru:d
accrues,NULL,əˈkru:z
accruing,NULL,əˈkru:ɪŋ
accu,NULL,NULL
accumulate,əˈkjumjəˌlet,əˈkju:mjəleɪt
accumulated,ək'jumjʊleɪtɪd,ək'ju:mjʊleɪtɪd
accumulates,NULL,əˈkju:mjuleits
accumulating,ə'kjumjʊleɪt,ə'kju:mjʊleɪt
accumulation,əˌkjumjəˈleʃən,əˌkju:mjə'leɪʃn
accumulations,NULL,əˌkju:mjəˈleɪʃənz
accumulative,"əˈkjumjəˌletɪv, -lətɪv",əˈkju:mjələtɪv
accumulatively,NULL,NULL
accumulator,əˈkjumjəˌletɚ,əˈkju:mjəleɪtə(r)
accumulators,NULL,NULL
accuracies,NULL,ˈækjurəsiz
accuracy,ˈækjərəsi,ˈækjərəsi
accurate,ˈækjərɪt,ˈækjərət
accurately,'ækjərətlɪ,'ækjərətlɪ
accuray,NULL,NULL
accuray's,NULL,NULL
accuride,NULL,NULL
accurso,NULL,NULL
accusation,ˌækjuˈzeʃən,ˌækjuˈzeɪʃn
accusations,NULL,ˌækju:ˈzeɪʃənz
accusative,əˈkjuzətɪv,əˈkju:zətɪv
accusatory,əˈkjuzətɔri,əˈkju:zətəri
accuse,əˈkjuz,əˈkju:z
accused,əˈkjuzd,əˈkju:zd
accuser,ə'kjuzə(r),ə'kju:zə(r)
accusers,NULL,əˈkju:zəz
accuses,NULL,əˈkju:ziz
accusing,NULL,əˈkju:zɪŋ
accusingly,ə'kjuzɪŋlɪ,ə'kju:zɪŋlɪ
accustom,əˈkʌstəm,əˈkʌstəm
accustomed,əˈkʌstəmd,əˈkʌstəmd
accutane,əkju'teɪn,əkju:'teɪn
ace,es,eɪs
aced,NULL,NULL
acer,NULL,NULL
acerbic,əˈsɜrbɪk,əˈsɜ:bɪk
acero,NULL,NULL
acerra,NULL,NULL
aces,NULL,eisiz
acetaminophen,"əˌsitəˈmɪnəfən, ˌæsə-",əˌsi:təˈmɪnəfen
acetate,ˈæsɪˌtet,ˈæsɪteɪt
acetic,ə'sitɪk,ə'si:tɪk
aceto,'eɪstoʊ,'eɪstəʊ
acetochlor,əstɒk'lɔ,əstɒk'lɔ:
acetone,ˈæsɪtoʊn,ˈæsɪtəʊn
acetosyringone,eɪstoʊsɪr'rɪɡən,eɪstəʊsɪə'rɪɡən
acetylcholine,ˌæsətɪl'koʊlin,ˌæsɪtɪl'kɒli:n
acetylene,"əˈsɛtlˌin, -ən",əˈsetəli:n
acevedo,NULL,NULL
aceves,NULL,NULL
acey,NULL,NULL
achaean,əˈkiən,əˈki:ən
achatz,NULL,NULL
ache,ek,eɪk
achebe,ɑˈtʃebe,ɑ:ˈtʃeɪbeɪ
ached,NULL,eikt
achee,NULL,NULL
achenbach,NULL,NULL
achenbaum,NULL,NULL
aches,NULL,eikiz
acheson,ˈætʃɪsən,ˈætʃisn
acheson's,NULL,NULL
achesons,NULL,NULL
achey,NULL,NULL
achieva,NULL,NULL
achievable,ə'tʃivəbl,ə'tʃi:vəbl
achieve,əˈtʃiv,əˈtʃi:v
achieved,ə'tʃivd,ə'tʃi:vd
achievement,əˈtʃivmənt,əˈtʃi:vmənt
achievements,ət'ʃivmənts,ət'ʃi:vmənts
achiever,NULL,əˈtʃi:və(r)
achievers,NULL,ə'tʃi:vəz
achieves,NULL,əˈtʃi:vz
achieving,NULL,əˈtʃi:vɪŋ
achille,NULL,NULL
achilles,əˈkɪliz,əˈkili:z
aching,'eɪkɪŋ,'eɪkɪŋ
achingly,'eɪkɪŋlɪ,'eɪkɪŋlɪ
achmed,NULL,NULL
achoa,NULL,NULL
achoa's,NULL,NULL
achor,'eɪkɔ,'eɪkɔ:
achord,NULL,NULL
achorn,NULL,NULL
achtenberg,NULL,NULL
achterberg,NULL,NULL
achy,ˈeki,ˈeɪki
acid,ˈæsɪd,ˈæsɪd
acidic,əˈsɪdɪk,əˈsɪdɪk
acidification,əˌsɪdəfɪ'keɪʃən,əˌsɪdɪfɪ'keɪʃən
acidified,NULL,əˈsidifaid
acidifies,NULL,əˈsidifaiz
acidify,ə'sɪdɪfaɪ,əˈsɪdɪfaɪ
acidity,əˈsɪdɪti,əˈsɪdəti
acidly,ˈæsɪdli,ˈæsɪdli
acidosis,ˌæsɪ'doʊsɪs,ˌæsɪ'dəʊsɪs
acids,'æsɪdz,'æsɪdz
aciduria,ˌæsɪ'djʊrˌæsɪ'dʊriə,æsɪ'djʊərɪə
ack,NULL,NULL
acker,'eɪkə,'eɪkə
acker's,NULL,NULL
ackerley,NULL,NULL
ackerly,NULL,NULL
ackerman,NULL,NULL
ackermann,NULL,NULL
ackerson,NULL,NULL
ackert,NULL,NULL
ackhouse,NULL,NULL
ackland,NULL,NULL
ackles,NULL,NULL
ackley,NULL,NULL
acklin,NULL,NULL
ackman,NULL,NULL
acknowledge,əkˈnɑlɪdʒ,əkˈnɒlɪdʒ
acknowledgeable,NULL,NULL
acknowledged,ək'nɒlɪdʒd,ək'nɒlɪdʒd
acknowledgement,əkˈnɑːlɪdʒmənt,əkˈnɒlɪdʒmənt
acknowledgements,NULL,əkˈnɔlidʒmənts
acknowledges,NULL,əkˈnɔlidʒz
acknowledging,ək'nɒlɪdʒɪŋ,ək'nɒlɪdʒɪŋ
acknowledgment,ækˈnɑlɪdʒmənt,ək'nɒlɪdʒmənt
ackroyd,NULL,NULL
ackroyd's,NULL,NULL
acmat,NULL,NULL
acmat's,NULL,NULL
acme,'ækmɪ,ˈækmi
acme's,NULL,NULL
acne,ˈækni,ˈækni
acocella,NULL,NULL
acoff,NULL,NULL
acog,NULL,NULL
acolyte,ˈækəˌlaɪt,ˈækəlaɪt
acolytes,NULL,ˈækəˌlaɪts
acord,NULL,NULL
acordia,NULL,NULL
